id,country,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,longitude,latitude,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
133,INDONESIA,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998,MANCANEGARA,2782,ORANG,2016
188,INDONESIA,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998,NUSANTARA,5436456,ORANG,2017
323,INDONESIA,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998,NUSANTARA,845333,ORANG,2020
322,INDONESIA,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998,MANCANEGARA,154,ORANG,2020
268,INDONESIA,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998,MANCANEGARA,713,ORANG,2019
269,INDONESIA,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998,NUSANTARA,2080581,ORANG,2019
28,INDONESIA,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998,NUSANTARA,156937,ORANG,2014
27,INDONESIA,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998,MANCANEGARA,56,ORANG,2014
187,INDONESIA,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,-6.55888499999998,107.44972199999998,MANCANEGARA,435342,ORANG,2017
321,INDONESIA,32,JAWA BARAT,3213,KABUPATEN SUBANG,-6.560931999999996,107.75390599999997,NUSANTARA,310977,ORANG,2020
320,INDONESIA,32,JAWA BARAT,3213,KABUPATEN SUBANG,-6.560931999999996,107.75390599999997,MANCANEGARA,1086,ORANG,2020
26,INDONESIA,32,JAWA BARAT,3213,KABUPATEN SUBANG,-6.560931999999996,107.75390599999997,NUSANTARA,3227988,ORANG,2014
25,INDONESIA,32,JAWA BARAT,3213,KABUPATEN SUBANG,-6.560931999999996,107.75390599999997,MANCANEGARA,170274,ORANG,2014
267,INDONESIA,32,JAWA BARAT,3213,KABUPATEN SUBANG,-6.560931999999996,107.75390599999997,NUSANTARA,1080895,ORANG,2019
78,INDONESIA,32,JAWA BARAT,3213,KABUPATEN SUBANG,-6.560931999999996,107.75390599999997,NUSANTARA,3227988,ORANG,2015
